Number,Type,Congress,Title,Url
6722,HR,117,"To designate the Department of Veterans Affairs community-based outpatient clinic in French Camp, California, as the ""Richard A. Pittman VA Clinic"".",https://api.congress.gov/v3/bill/117/hr/6722?format=xml
5481,HR,117,"To name the Department of Veterans Affairs community-based outpatient clinic in Forest City,   North Carolina, as the ""Master Sergeant Jerry K. Crump VA Clinic"".",https://api.congress.gov/v3/bill/117/hr/5481?format=xml
3175,HR,117,"To designate the facility of the United States Postal Service located at 135 Main Street in Biloxi, Mississippi, as the ""Robert S. McKeithen Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/3175?format=xml
700,HR,117,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the ""Lawrence M. 'Larry' Walsh Sr. Post Office"".",https://api.congress.gov/v3/bill/117/hr/700?format=xml
228,HR,117,"To designate the facility of the United States Postal Service located at 2141 Ferry Street in Anderson, California, as the ""Norma Comnick Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/228?format=xml
6614,HR,117,"To designate the facility of the United States Postal Service located at 4744 Grand River Avenue in Detroit, Michigan, as the ""Rosa Louise McCauley Parks Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/6614?format=xml
3369,S,117,Max Cleland VA Medical Center Act,https://api.congress.gov/v3/bill/117/s/3369?format=xml
521,HR,117,First Responder Fair RETIRE Act,https://api.congress.gov/v3/bill/117/hr/521?format=xml
4359,S,117,Senator Johnny Isakson VA Regional Office Act of 2022,https://api.congress.gov/v3/bill/117/s/4359?format=xml
4524,S,117,Speak Out Act,https://api.congress.gov/v3/bill/117/s/4524?format=xml
3655,S,117,Civil Rights Cold Case Investigations Support Act of 2022,https://api.congress.gov/v3/bill/117/s/3655?format=xml
3510,S,117,Disaster Resiliency Planning Act,https://api.congress.gov/v3/bill/117/s/3510?format=xml
2159,S,117,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs located at 400 College Drive, Middleburg, Florida, as the ""Andrew K. Baker Department of Veterans Affairs Clinic"", and for other purposes.",https://api.congress.gov/v3/bill/117/s/2159?format=xml
100,HJRES,117,To provide for a resolution with respect to the unresolved disputes between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference and certain of their employees.,https://api.congress.gov/v3/bill/117/hjres/100?format=xml
3826,S,117,"A bill to designate the facility of the United States Postal Service located at 1304 4th Avenue in Canyon, Texas, as the ""Gary James Fletcher Post Office Building"".",https://api.congress.gov/v3/bill/117/s/3826?format=xml
3884,S,117,"A bill to designate the facility of the United States Postal Service located at 404 U.S. Highway 41 North in Baraga, Michigan, as the ""Cora Reynolds Anderson Post Office"".",https://api.congress.gov/v3/bill/117/s/3884?format=xml
4693,HR,117,Global Malnutrition Prevention and Treatment Act of 2021,https://api.congress.gov/v3/bill/117/hr/4693?format=xml
2771,S,117,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in San Angelo, Texas, as the ""Colonel Charles and JoAnne Powell Department of Veterans Affairs Clinic"".",https://api.congress.gov/v3/bill/117/s/2771?format=xml
4205,S,117,PAW Act,https://api.congress.gov/v3/bill/117/s/4205?format=xml
